Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Admission Grade Category,Previous Qualification Category,1st_sem_grade_cat,2nd_sem_grade_cat
11,Single,1,1,9500,1,1,136.0,Portuguese,19,38,9,9,119.3,1,,0,1,Female,Scholarship,18,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate,Middle,High,Medium,Medium
12,Single,1,2,9853,1,1,133.0,Portuguese,19,37,4,9,130.2,1,,0,1,Female,No Scholarship,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,High,High,Low,Low
13,Single,53,1,9254,1,42,110.0,Portuguese,1,1,4,7,111.8,1,,0,1,Female,Scholarship,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,Middle,Middle,Medium,Medium
14,Single,1,1,9085,1,1,149.0,Portuguese,38,37,5,5,137.1,1,,0,1,Female,Scholarship,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,High,High,Medium,Medium
15,Single,1,1,9773,1,1,127.0,Portuguese,19,37,9,3,120.7,1,,0,1,Female,No Scholarship,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,Middle,High,Medium,Low
16,Single,18,1,9238,1,1,137.0,Portuguese,19,38,5,8,137.4,1,,0,1,Female,No Scholarship,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,High,High,Medium,Medium
17,Single,17,2,9500,1,1,135.0,Portuguese,19,1,5,4,127.3,1,,0,1,Female,No Scholarship,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,High,High,Medium,Medium
18,Single,1,1,9130,1,1,137.0,Portuguese,3,19,3,5,136.3,1,,0,1,Female,No Scholarship,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,High,High,Medium,Medium
19,Single,1,1,9853,1,1,140.0,Portuguese,19,19,7,7,124.6,1,,0,1,Female,No Scholarship,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,Middle,High,Medium,Medium
20,Single,1,3,171,1,1,122.0,Portuguese,1,1,9,8,120.3,0,,0,1,Female,Scholarship,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Middle,Middle,Low,Low
21,Single,18,4,9556,1,1,127.0,Portuguese,1,38,4,7,121.8,1,,0,1,Female,No Scholarship,20,0,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled,Middle,High,Medium,Medium
22,Single,1,4,9500,1,1,142.0,Portuguese,19,19,1,1,125.5,1,,0,1,Female,No Scholarship,18,0,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate,High,High,Medium,Medium
23,Single,1,4,9670,1,1,125.0,Portuguese,1,38,4,7,114.9,1,,0,1,Female,Scholarship,19,0,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate,Middle,Middle,Medium,Medium
24,Single,1,1,9500,1,1,126.0,Portuguese,19,19,3,7,123.9,0,,0,1,Female,No Scholarship,19,0,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate,Middle,High,Medium,Medium
25,Single,1,1,9238,1,1,151.0,Portuguese,19,38,9,9,157.0,1,,1,1,Female,Scholarship,18,0,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled,High,High,Medium,Medium
26,Single,17,2,9238,1,1,115.0,Portuguese,19,38,7,8,116.4,1,,0,1,Female,No Scholarship,21,0,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate,Middle,Middle,Medium,Medium
27,Single,1,1,9085,1,1,138.0,Portuguese,19,19,3,3,131.0,1,,0,1,Female,No Scholarship,18,0,0,5,9,5,12.66666667,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,High,High,Medium,Medium
28,Single,1,1,9147,1,1,135.0,Portuguese,19,1,9,9,122.1,1,,0,1,Female,No Scholarship,20,0,0,5,6,5,12.0,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate,Middle,High,Medium,Medium
29,Single,17,2,9500,1,1,127.0,Portuguese,3,3,1,10,118.8,1,,0,1,Male,No Scholarship,19,0,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled,Middle,High,Medium,Medium
30,Single,44,1,9003,1,39,150.0,Portuguese,4,5,4,2,150.0,0,,0,1,Male,No Scholarship,21,0,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled,High,High,Medium,Medium
31,Single,51,1,9070,1,1,125.0,Portuguese,42,3,125,124,130.0,1,,0,1,Male,No Scholarship,20,0,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,High,Middle,Medium,Medium
32,Single,1,1,9147,1,1,143.0,Portuguese,1,1,4,6,138.8,0,,0,0,Male,No Scholarship,18,0,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,High,High,Medium,Medium
33,Single,18,1,8014,0,1,138.0,Portuguese,19,1,9,5,134.5,1,,0,1,Female,No Scholarship,19,0,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,High,High,Medium,Medium
34,Single,1,1,9991,0,1,130.0,Portuguese,2,37,3,9,131.4,0,,0,1,Male,No Scholarship,34,0,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
35,Single,39,1,33,1,1,130.0,Portuguese,38,37,9,6,102.5,0,,1,0,Male,No Scholarship,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,Middle,High,Low,Low
36,Single,39,1,9119,1,10,133.1,Portuguese,34,37,0,0,128.8,1,,0,1,Male,No Scholarship,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,High,High,Low,Low
37,Single,43,1,9147,1,1,140.0,Portuguese,37,37,6,6,122.9,0,,0,1,Female,No Scholarship,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,Middle,High,Low,Medium
38,Divorced,39,1,9991,0,1,120.0,Portuguese,19,19,9,3,113.9,1,,0,1,Female,No Scholarship,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,Middle,Middle,Medium,Medium
39,Single,44,1,9130,1,39,120.0,Spanish,4,4,3,6,120.0,0,,1,0,Female,No Scholarship,20,1,2,6,13,3,11.66666667,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,Middle,Middle,Medium,Medium
40,Single,1,5,9773,1,1,126.0,Portuguese,3,3,2,2,121.1,0,,1,1,Female,No Scholarship,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,Middle,High,Medium,Low
41,Single,1,2,9147,1,1,133.0,Portuguese,3,19,2,7,120.4,1,,0,1,Female,No Scholarship,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,Middle,High,Medium,High
42,Single,1,6,9500,1,1,103.0,Portuguese,1,3,2,2,100.6,1,,0,1,Female,No Scholarship,22,0,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate,Middle,Middle,Medium,Medium
43,Single,17,1,9773,1,1,120.0,Portuguese,1,38,5,5,121.4,0,,0,0,Female,No Scholarship,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,Middle,Middle,Medium,Medium
44,Single,39,1,9991,0,1,133.1,Portuguese,37,37,9,9,109.7,0,,0,1,Female,No Scholarship,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,Middle,High,Low,Low
45,Single,17,1,9991,0,1,154.0,Portuguese,38,38,4,5,134.1,0,,0,1,Female,No Scholarship,24,0,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled,High,High,Medium,Medium
46,Single,17,2,9238,1,1,130.0,Portuguese,19,19,9,9,127.6,1,,0,1,Female,No Scholarship,18,0,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,High,High,Medium,Medium
47,Single,17,6,9500,1,1,132.0,Portuguese,37,19,7,7,132.4,1,,0,1,Female,Scholarship,22,0,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate,High,High,Medium,Medium
48,Single,44,1,8014,0,39,130.0,Portuguese,1,19,9,9,133.4,0,,0,1,Female,Scholarship,21,0,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate,High,High,Medium,Medium
49,Single,1,1,9238,1,1,139.0,Portuguese,37,38,9,9,126.1,0,,0,1,Female,Scholarship,19,0,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate,High,High,Medium,Medium
50,Single,39,1,9254,1,1,130.0,Portuguese,19,38,9,7,113.5,0,,0,1,Female,Scholarship,24,0,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate,Middle,High,Medium,Medium
51,Single,1,1,9500,1,1,139.0,Portuguese,37,38,6,6,121.3,1,,0,1,Female,Scholarship,19,0,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled,Middle,High,Medium,Medium
52,Single,1,1,9773,1,1,127.0,Portuguese,1,19,7,7,121.8,1,,0,1,Female,Scholarship,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled,Middle,High,Medium,Medium
53,Single,1,3,9130,1,1,167.0,Portuguese,37,37,90,90,159.3,0,,0,1,Female,No Scholarship,19,0,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate,High,High,Medium,High
54,Single,39,1,9991,0,1,130.0,Portuguese,38,38,9,9,120.0,0,,0,1,Female,No Scholarship,27,0,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout,Middle,High,Medium,Medium
55,Single,1,1,9500,1,1,130.0,Portuguese,1,19,5,5,129.1,1,,0,1,Female,No Scholarship,18,0,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate,High,High,Medium,Medium
56,Married,7,1,9254,1,3,130.0,Portuguese,1,3,4,3,130.0,0,,0,1,Female,No Scholarship,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout,High,High,Low,Low
57,Single,39,1,9130,1,40,129.0,Portuguese,3,3,2,2,155.3,1,,0,1,Female,No Scholarship,27,0,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout,High,High,Medium,Medium
58,Single,17,1,9500,1,1,141.0,Portuguese,38,38,7,10,139.8,1,,0,1,Female,No Scholarship,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate,High,High,Medium,Medium
59,Single,1,3,171,1,1,125.0,Portuguese,38,37,4,9,115.2,1,,0,1,Female,No Scholarship,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled,Middle,Middle,Low,Low
60,Single,1,2,9500,1,1,125.0,Portuguese,19,19,9,9,114.9,0,,0,1,Female,No Scholarship,18,0,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate,Middle,Middle,Medium,Medium
61,Single,44,1,9238,1,39,130.0,Portuguese,19,1,9,9,131.9,0,,0,1,Female,Scholarship,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
62,Single,17,3,171,1,1,133.0,Portuguese,1,37,4,7,126.0,1,,0,1,Male,Scholarship,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,High,High,Low,Low
63,Single,17,1,9070,1,1,127.0,Portuguese,1,1,3,4,130.2,1,,0,1,Male,No Scholarship,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,High,High,Medium,Low
64,Single,43,1,9070,1,1,116.0,Portuguese,1,1,3,3,120.9,0,,0,1,Male,No Scholarship,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,Middle,Middle,Low,Low
65,Divorced,42,1,9500,1,19,133.1,Portuguese,1,1,5,5,126.0,1,,0,1,Male,No Scholarship,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,High,High,Medium,Medium
66,Single,1,3,171,1,1,139.0,Portuguese,19,19,5,3,128.2,1,,0,1,Male,Scholarship,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,High,High,Low,Low
67,Single,44,1,9003,1,39,130.0,Portuguese,19,37,9,9,130.0,1,,0,1,Male,No Scholarship,23,0,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,8.9,1.4,3.51,Graduate,High,High,Medium,Medium
68,Single,1,3,9147,1,1,125.0,Portuguese,1,38,7,7,120.1,0,,1,1,Male,No Scholarship,19,0,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,Middle,Middle,Medium,Medium
69,Single,39,1,9254,1,1,160.0,Portuguese,19,37,7,10,100.0,0,,0,1,Male,No Scholarship,26,0,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,Middle,High,Medium,Medium
70,Single,17,1,9147,1,1,148.0,Portuguese,38,37,5,5,134.0,0,,0,1,Male,No Scholarship,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,High,High,Low,Low
71,Single,17,1,9500,1,1,150.0,Portuguese,37,19,8,4,130.8,0,,0,1,Male,No Scholarship,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
72,Single,1,1,171,1,1,141.0,Portuguese,19,19,5,10,135.8,1,,0,1,Male,No Scholarship,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,High,High,Low,Low
73,Single,17,4,9254,1,1,118.0,Portuguese,38,37,5,7,111.7,1,,0,1,Male,No Scholarship,18,0,0,6,12,3,11.66666667,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,Middle,Middle,Medium,Medium
74,Single,1,2,9773,1,1,142.0,Portuguese,38,38,9,9,132.9,1,,0,1,Male,No Scholarship,18,0,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74,Graduate,High,High,Medium,Medium
75,Single,17,3,9147,1,1,120.0,Portuguese,19,19,4,7,115.5,1,,1,1,Male,No Scholarship,18,0,0,5,8,3,10.33333333,0,0,5,11,3,10.85714286,0,10.8,1.4,1.74,Dropout,Middle,Middle,Medium,Medium
76,Single,18,4,9254,1,1,106.0,Portuguese,19,37,7,7,106.0,1,,0,1,Male,Scholarship,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,Middle,Middle,Medium,Medium
77,Single,17,4,9773,1,1,121.0,Portuguese,1,19,9,8,120.3,1,,1,1,Male,Scholarship,19,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate,Middle,Middle,Medium,Medium
78,Single,17,4,9500,1,1,150.0,Portuguese,38,37,9,9,130.8,0,,0,1,Male,Scholarship,22,0,0,7,7,7,14.84285714,0,0,8,9,8,15.05555556,0,16.2,0.3,-0.92,Graduate,High,High,Medium,High
79,Married,39,1,8014,0,1,120.0,Portuguese,37,37,9,6,117.0,0,,0,1,Male,No Scholarship,33,0,0,6,8,6,12.0,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate,Middle,Middle,Medium,Medium
80,Single,1,6,9853,1,1,114.0,Portuguese,19,19,9,9,110.2,1,,0,1,Male,No Scholarship,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,Middle,Middle,Medium,Medium
81,Single,39,1,9991,0,2,140.0,Portuguese,3,3,2,2,155.7,1,,0,1,Male,No Scholarship,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,High,High,Low,Low
82,Single,39,1,9003,1,4,160.0,Portuguese,3,3,4,2,180.4,0,,1,1,Male,No Scholarship,24,0,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,High,High,Medium,Medium
83,Single,17,1,9254,1,1,120.0,Portuguese,19,19,4,4,125.5,0,,0,1,Male,No Scholarship,18,0,0,5,6,5,12.0,0,0,5,8,3,11.33333333,0,12.7,3.7,-1.7,Enrolled,High,Middle,Medium,Medium
84,Married,39,1,8014,0,1,130.0,Portuguese,37,37,9,6,110.0,1,,0,1,Female,No Scholarship,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,Middle,High,Medium,Medium
85,Single,42,1,9500,1,1,160.0,Portuguese,37,38,9,7,161.0,1,,0,1,Female,Scholarship,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,High,High,Medium,Medium
86,Single,39,1,9670,1,1,120.0,Portuguese,1,19,4,5,100.0,0,,0,1,Female,Scholarship,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,Middle,Middle,Medium,Medium
87,Single,17,1,9070,1,1,124.0,Portuguese,19,38,4,0,117.6,1,,0,1,Male,No Scholarship,20,0,0,6,9,6,10.66666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,Middle,Middle,Medium,Medium
88,Single,1,6,9147,1,1,143.0,Portuguese,38,37,9,9,128.7,1,,0,1,Male,No Scholarship,23,0,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled,High,High,Medium,Medium
89,Single,43,2,9119,1,1,115.0,Portuguese,38,19,9,6,112.2,1,,1,1,Male,No Scholarship,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,Middle,Middle,Low,Low
90,Single,39,1,9500,1,1,133.1,Portuguese,1,1,4,10,100.8,0,,0,1,Male,No Scholarship,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,Middle,High,Low,Low
91,Single,17,2,9773,1,1,133.1,Brazilian,19,1,9,9,105.0,1,,0,0,Female,No Scholarship,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,Middle,High,Medium,Medium
92,Single,15,1,9130,1,1,133.1,Brazilian,1,1,4,4,100.0,0,,0,1,Female,No Scholarship,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,Middle,High,Medium,Low
93,Married,39,1,9853,1,10,133.1,Portuguese,37,34,0,0,115.5,0,,0,1,Female,No Scholarship,39,0,0,6,12,3,12.66666667,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout,Middle,High,Medium,Low
94,Married,39,1,8014,0,1,133.1,Portuguese,37,19,9,9,114.0,0,,0,1,Female,No Scholarship,44,0,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,12.7,3.7,-1.7,Graduate,Middle,High,Medium,Medium
95,Single,15,1,9119,1,1,130.0,Santomean,38,3,9,2,137.0,1,,0,1,Male,No Scholarship,19,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled,High,High,Medium,Medium
96,Single,1,5,9773,1,1,135.0,Portuguese,37,1,5,5,124.9,1,,0,1,Female,No Scholarship,18,0,0,6,6,6,13.66666667,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51,Graduate,Middle,High,Medium,Medium
97,Single,1,5,9500,1,1,132.0,Portuguese,37,37,7,7,120.3,1,,0,1,Female,Scholarship,18,0,0,7,7,7,13.75,0,0,8,9,8,14.47777778,0,12.4,0.5,1.79,Graduate,Middle,High,Medium,Medium
98,Single,1,1,9085,1,1,135.0,Portuguese,1,2,9,1,134.3,1,,0,1,Female,No Scholarship,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled,High,High,Medium,Medium
99,Single,1,4,9500,1,1,115.0,Portuguese,3,3,2,2,111.5,1,,1,0,Female,No Scholarship,19,0,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,Middle,Middle,Medium,Low
100,Single,53,1,9085,1,42,130.0,Portuguese,38,38,9,9,128.8,0,,0,1,Female,No Scholarship,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout,High,High,Medium,Medium
101,Single,1,4,171,1,1,133.1,Portuguese,1,1,9,10,110.0,1,,0,1,Female,No Scholarship,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate,Middle,High,Low,Low
102,Married,39,1,8014,0,1,130.0,Portuguese,37,37,6,5,113.5,1,,0,1,Female,No Scholarship,36,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Middle,High,Low,Low
103,Divorced,39,1,9003,1,12,133.1,Portuguese,37,37,9,6,160.0,0,,0,1,Female,No Scholarship,43,0,13,18,19,18,14.63157895,0,10,13,14,13,14.23076923,1,15.5,2.8,-4.06,Graduate,High,High,Medium,Medium
104,Single,18,1,9853,1,1,123.0,Portuguese,19,19,9,7,117.4,1,,0,1,Female,No Scholarship,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout,Middle,Middle,Low,Low
105,Single,51,1,9070,1,1,130.0,Portuguese,3,1,2,8,122.2,0,,1,1,Female,No Scholarship,20,0,4,10,12,10,13.0,0,5,11,11,11,12.27272727,0,11.1,0.6,2.02,Graduate,Middle,High,Medium,Medium
106,Single,1,2,9238,1,1,122.0,Portuguese,37,38,4,7,118.2,1,,0,1,Female,No Scholarship,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout,Middle,Middle,Low,Low
107,Single,1,1,9085,1,1,113.0,Portuguese,1,1,4,4,106.7,1,,0,1,Female,No Scholarship,20,0,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout,Middle,Middle,Medium,Medium
108,Single,1,5,9500,1,1,111.0,Portuguese,3,4,4,3,108.2,1,,0,1,Female,No Scholarship,20,0,2,7,9,6,13.26666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout,Middle,Middle,Medium,Medium
109,Single,17,2,9853,1,1,133.1,Portuguese,19,1,9,3,107.0,1,,0,1,Female,No Scholarship,20,0,0,7,12,6,11.66666667,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,Enrolled,Middle,High,Medium,Medium
